"","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS","stock_name","covariate_name","spline","RunType","stock_code","area","ecoregion","Code","Code2","region","spline.1"
"1",1.80312192486632,1.83858069847242,0.0460296807592051,7.00195398682431,1.00059196913201,1783.06869345998,2128.14862893497,"Columbia Upriver Bright","stand_BI","year","Fall","URB","Upper Columbia River",2,4,18,"Columbia-Snake","year"
"2",0.00111435179431363,0.00124886396543715,2.83327385215076e-05,0.00455725762735302,1.00099355109227,1605.02510715538,2383.81976320084,"Columbia Upriver Bright","stand_BI","covariate","Fall","URB","Upper Columbia River",2,4,18,"Columbia-Snake","covariate"
"3",2.49887162745611,2.49409715772582,0.080919649524289,9.12599008305717,1.00352585023324,884.625237122678,907.474867478336,"Columbia River Summers","stand_BI","year","Summer","SUM","Upper Columbia River",2,3,17,"Columbia-Snake","year"
"4",0.00124462203927179,0.00139207203390183,2.99163739298425e-05,0.00484710427327148,1.00108551473046,1677.30311012447,2560.46511200412,"Columbia River Summers","stand_BI","covariate","Summer","SUM","Upper Columbia River",2,3,17,"Columbia-Snake","covariate"
"5",1.07521152782256,0.891595588511565,0.0431185184135584,3.38769470300106,1.0015385338341,1474.45450449143,1616.2986633924,"Stillaguamish Fall Fingerling² ","stand_BI","year","Summer","STL","Central Puget Sound",1,2,16,"Salish Sea","year"
"6",0.000478028448560286,0.000676451168574643,1.36698301741448e-05,0.00199242714225385,1.0038786978764,2119.08887803672,2535.58437965811,"Stillaguamish Fall Fingerling² ","stand_BI","covariate","Summer","STL","Central Puget Sound",1,2,16,"Salish Sea","covariate"
"7",3.3026235569238,2.4082137305282,0.168570336061211,9.18152259311785,1.00067872344554,954.537166024104,1929.57564553536,"Skagit Summer Fingerling","stand_BI","year","Summer","SSF","North Puget Sound",1,3,17,"Salish Sea","year"
"8",0.000664639735586439,0.000801384326821043,1.84004425378916e-05,0.00280392946536058,1.00013055691041,2307.1641218345,3045.26416065298,"Skagit Summer Fingerling","stand_BI","covariate","Summer","SSF","North Puget Sound",1,3,17,"Salish Sea","covariate"
"9",1.82853405434609,2.36949598533263,0.0450636835138249,8.72475112335876,1.0009734902321,1090.27433053756,1173.15951570715,"Salmon River","stand_BI","year","Fall","SRH","North Oregon Coast",3,4,18,"Oregon Coast","year"
"10",0.000610880840260883,0.000742299835667161,1.5575352232354e-05,0.00251980024410143,1.00241400499108,2367.19552078781,2589.40587339254,"Salmon River","stand_BI","covariate","Fall","SRH","North Oregon Coast",3,4,18,"Oregon Coast","covariate"
"11",1.17622358000904,0.989362672915374,0.0379264662377008,3.67021870982592,1.00096681699807,1418.41084402145,1559.00513112397,"South Puget Sound Fall Fingerling","stand_BI","year","Fall","SPS","South Puget Sound",1,1,15,"Salish Sea","year"
"12",0.000595345898231589,0.000631037970819045,1.64664669156982e-05,0.00224107941020291,1.00113534687055,1754.56890394389,2306.97282968976,"South Puget Sound Fall Fingerling","stand_BI","covariate","Fall","SPS","South Puget Sound",1,1,15,"Salish Sea","covariate"
"13",1.65446283643909,2.00662616695049,0.0385386552171307,7.71487671891479,1.00068052168788,1362.62999489759,1580.57096797645,"Spring Creek Tule","stand_BI","year","Spring","SPR","Lower Columbia River",2,2,16,"Columbia-Snake","year"
