"","stock_code","brood_year","age","Mat.Rate","Marine.Survival","Stock.Country","stock_name","area","ecoregion","RunType","Hatchery","Age","Wild","Code","Code2","calendar_year","location","sst_winter","sst_spring","Beuti_sti","Beuti_sti_scale","Beuti_tumi","Beuti_tumi_scale","BI","stand_BI","pdo_spring","pdo_winter","region"
"1","ATN",1986,2,0,0.009471498,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1987,"45N",0.677663448042647,0.586601194869503,NA,NA,NA,NA,0.339534884,-0.793912263857068,0.933745719768424,1.612649931279,"Salish Sea"
"2","ATN",1987,2,0,0.014529865,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1988,"45N",-0.0811433334766246,0.246176026976279,14,-2.0483677005194,370.498,-0.178979827759063,0.325581395,-0.878757853299286,0.541190487547536,0.634053224425726,"Salish Sea"
"3","ATN",1988,2,4e-04,0.02433393,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1989,"45N",-1.5739783187816,0.747712188942823,93,0.36481367653051,290.125,-0.528992890716472,0.553488372,0.507053380117607,0.181102229420106,-0.987440348094913,"Salish Sea"
"4","ATN",1989,2,4e-04,0.027412236,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1990,"45N",-0.580138763256119,0.590821614947067,75,-0.185025118240355,515.962,0.454495346615871,0.497674419,0.167671040590536,0.0571374192450888,-0.673909364345805,"Salish Sea"
"5","ATN",1990,2,0.0021,0.038763685,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1991,"45N",-0.78721164637953,-0.00129597391279151,97,0.48700007536848,424.499,0.056186900032149,0.506976744,0.224234760804748,-1.3625548115688,-1.00960920553172,"Salish Sea"
"6","ATN",1991,2,7e-04,0.048839094,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1992,"45N",1.13800416294314,2.04264978419411,64,-0.521037715044772,138.028,-1.19135384323328,0.334883721,-0.822194127004474,1.16396608152203,0.374360894451717,"Salish Sea"
"7","ATN",1992,2,9e-04,0.022581389,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1993,"45N",-0.295810410132496,1.65493059394775,122,1.25066506810579,116.863,-1.28352442884652,0.102325581,-2.23628722356877,1.69819538251436,0.250848688732372,"Salish Sea"
"8","ATN",1993,2,0,0.021700172,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1994,"45N",0.926916416888083,1.13460455501388,61,-0.61267751417325,164.099,-1.07781832055324,0.530232558,0.365644070461178,0.60612443573445,0.71639469490529,"Salish Sea"
"9","ATN",1994,2,0,0.033785635,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1995,"45N",0.568809657776468,1.28277570496155,78,-0.0933853191118773,191.499,-0.958495190583809,0.437209302,-0.199993168164542,0.980970409358907,0.136837421914514,"Salish Sea"
"10","ATN",1995,2,0,0.029128216,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1996,"45N",0.843500027303104,0.701166245605441,116,1.06738546984884,173.086,-1.03868120489502,0.279069767,-1.16157647261215,1.62735834812864,1.16610580290906,"Salish Sea"
"11","ATN",1996,2,0,0.017167607,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1997,"45N",0.0800270114901585,1.80255213015099,88,0.212080677983048,47.069,-1.58746744100296,0.372093023,-0.595939233986426,1.70705001181258,0.61188436698892,"Salish Sea"
"12","ATN",1997,2,0,0.005014538,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1998,"45N",2.34646223134246,1.99306459817246,82,0.0288010797260927,166.374,-1.06791101687877,0.404651163,-0.397966198035184,-0.196695287303756,1.47963678665817,"Salish Sea"
"13","ATN",1998,2,0,0.021282874,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1999,"45N",-0.219833529440946,-0.706626897906369,87,0.181534078273555,518.552,0.465774430799113,0.404651163,-0.397966198035184,-1.6518060353105,-0.69924520141644,"Salish Sea"
"14","ATN",1999,2,0,0.013201492,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2000,"45N",-0.144218949980348,0.563286904883081,77,-0.12393191882137,334.433,-0.336037808866636,0.362790698,-0.652502954200638,-0.344272442274014,-1.05394692040533,"Salish Sea"
"15","ATN",2000,2,0,0.013567124,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2001,"45N",0.158452894332203,-0.278498621829778,32,-1.49852890574853,682.848,1.18126030530486,0.655813953,1.12925433895754,-0.769294648588358,0.276184525803007,"Salish Sea"
"16","ATN",2001,2,0,0.033492932,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2002,"45N",-0.850065000071359,-0.588799645807666,37,-1.34579590720107,941.395,2.30719597261166,0.604651163,0.818153862577873,-0.825373967477057,-0.756250834825369,"Salish Sea"
"17","ATN",2002,2,0,0.01815961,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2003,"45N",1.05128312361967,1.22282065128608,115,1.03683887013934,247.014,-0.716735206632972,0.660465116,1.15753620210495,0.313921668893338,1.42579813288307,"Salish Sea"
"18","ATN",2005,2,0,0.021448319,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2006,"45N",0.426675544508289,0.424370371376029,104,0.700826273334927,535.367,0.539001380815024,0.651162791,1.10097248189073,0.0630405054438991,0.314188281408959,"Salish Sea"
"19","ATN",2006,2,0,0.010657406,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2007,"45N",-0.382362889450639,-0.0190633083576659,69,-0.36830471649731,418.205,0.0287774190092439,0.386046512,-0.511093644544208,0.0276219882510371,-0.534562260457313,"Salish Sea"
"20","ATN",2007,2,0,0.015293597,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2008,"45N",-1.59507041725243,-1.59733972230205,11,-2.14000749964787,906.593,2.15563817811545,0.562790698,0.56361710641242,-1.28286314788486,-1.07928275747596,"Salish Sea"
"21","ATN",2008,2,0,0.006962693,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2009,"45N",-1.90613839987886,-0.495042774573303,6,-2.29274049819534,755.243,1.49653030509088,0.739534884,1.63832785736905,-0.993611924143151,-1.53216084511356,"Salish Sea"
"22","ATN",2009,2,0,0.01807823,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2010,"45N",0.866870512309286,0.414584682929116,94,0.395360276240003,406.225,-0.0233937889116966,0.246511628,-1.35954950248279,-0.0284573306376611,0.301520362873642,"Salish Sea"
