"","Estimate","Est.Error","Q2.5","Q97.5","stock_name","covariate_name","RunType","stock_code","area","ecoregion","Code","Code2","region"
"1",0.232462450763613,0.0982644765175621,0.0557313905289682,0.424622507184442,"Columbia Upriver Bright","stand_BI","Fall","URB","Upper Columbia River",2,4,18,"Columbia-Snake"
"2",0.403104705230441,0.110725654919216,0.164812329333756,0.588320101670196,"Columbia River Summers","stand_BI","Summer","SUM","Upper Columbia River",2,3,17,"Columbia-Snake"
"3",0.360799622621357,0.106790190713731,0.127828275911107,0.538605716179794,"Stillaguamish Fall Fingerling² ","stand_BI","Summer","STL","Central Puget Sound",1,2,16,"Salish Sea"
"4",0.32294940850826,0.143211149348571,0.0639127319849743,0.591864845415527,"Skagit Summer Fingerling","stand_BI","Summer","SSF","North Puget Sound",1,3,17,"Salish Sea"
"5",0.150753414735818,0.0880809800578119,0.0234297019814029,0.354403363945319,"Salmon River","stand_BI","Fall","SRH","North Oregon Coast",3,4,18,"Oregon Coast"
"6",0.219222434463147,0.0967159411297535,0.0451609197950105,0.406235323094455,"South Puget Sound Fall Fingerling","stand_BI","Fall","SPS","South Puget Sound",1,1,15,"Salish Sea"
"7",0.280747492734627,0.104916519582308,0.0771667661258391,0.485340308743465,"Spring Creek Tule","stand_BI","Spring","SPR","Lower Columbia River",2,2,16,"Columbia-Snake"
"8",0.156467939499766,0.0894792680669471,0.0248078597363362,0.355401868670505,"Tsoo-Yess Fall Fingerling","stand_BI","Fall","SOO","North Washington Coast",2,1,15,"Washington Coast"
"9",0.229446112388051,0.10815328740858,0.0440113554916411,0.444728581172846,"Skykomish Fall Fingerling","stand_BI","Fall","SKY","Central Puget Sound",1,1,15,"Salish Sea"
"10",0.233139214774679,0.107473598620461,0.0455260081343,0.440860038540614,"Skagit Spring Fingerling","stand_BI","Spring","SKF","North Puget Sound",1,2,16,"Salish Sea"
"11",0.132288846604348,0.0724054605894753,0.0195964918305799,0.294153175902869,"Lower Shuswap River Summer","stand_BI","Summer","SHU","Fraser River",2,1,15,"Salish Sea"
"12",0.132057256549017,0.072739349490476,0.0196842389052463,0.290506716536194,"Samish Fall Fingerling","stand_BI","Fall","SAM","North Puget Sound",1,1,15,"Salish Sea"
"13",0.352183947557958,0.160923100564138,0.0589933213749871,0.629582293386032,"Quinsam River Fall ","stand_BI","Fall","QUI","Strait of Georgia",2,1,15,"Salish Sea"
"14",0.256199084086427,0.101558848961171,0.0577559606011629,0.44652684719402,"Queets Fall Fingerling","stand_BI","Fall","QUE","North Washington Coast",2,5,19,"Washington Coast"
"15",0.410538683063615,0.108299024886505,0.170932028292951,0.583994019310304,"Puntledge River Summer","stand_BI","Summer","PPS","Strait of Georgia",2,5,19,"Salish Sea"
"16",0.516052440504264,0.176287480905903,0.157154734680178,0.894987899613782,"Phillips River Fall","stand_BI","Fall","PHI","Strait of Georgia",2,4,18,"Salish Sea"
"17",0.464428966406945,0.125244484910811,0.178217565664066,0.663961076874064,"Nooksack Spring Fingerling","stand_BI","Spring","NSF","North Puget Sound",1,5,19,"Salish Sea"
"18",0.469968581299598,0.103906150326723,0.229130373448179,0.628122221214089,"Nisqually Fall Fingerling","stand_BI","Fall","NIS","South Puget Sound",1,5,19,"Salish Sea"
"19",0.213751382703793,0.0986987505039495,0.0393314145784819,0.405832856747957,"Middle Shuswap","stand_BI","Summer","MSH","Fraser River",2,5,19,"Salish Sea"
"20",0.394959375680056,0.139708553906316,0.124293570905279,0.672366778715166,"Lyons Ferry Fingerling","stand_BI","Fall","LYF","Snake River",2,3,17,"Columbia-Snake"
"21",0.161728454879752,0.0846532871880662,0.0255812576835967,0.338030141395423,"Lewis River Wild","stand_BI","Fall","LRW","Lower Columbia River",2,1,15,"Columbia-Snake"
"22",0.238015653747164,0.0978143577743843,0.0560992262498684,0.423198817218615,"Columbia Lower River Hatchery","stand_BI","Fall","LRH","Lower Columbia River",2,5,19,"Columbia-Snake"
